Order Number,Toothbrush Type,Order Date,Customer Age,Order Quantity,Delivery Postcode,Billing Postcode,Dispatch Status,Dispatch Date,Delivery Status,Delivery Date
BRU00008065,Toothbrush 4000,2022/12/02,13,2,IP13 209AW,CO9 1EH,Order Confirmed,2022/12/03,Unavailable,
BRU00008250,Toothbrush 2000,2022/12/01,76,4,GL1 203LN,BS48 3PT,Order Confirmed,2022/12/01,Unavailable,
BRU00008204,Toothbrush 4000,2022/12/01,22,8,BL8 202UN,G64 2NJ,Order Received,2022/12/01,Unavailable,
BRU00008191,Toothbrush 4000,2022/12/02,27,9,AB21 209BS,B29 4LN,Order Received,2022/12/02,Unavailable,
BRU00008070,Toothbrush 2000,2022/12/02,49,6,HU17 208HG,CT14 7AY,Order Received,2022/12/02,Unavailable,
BRU00007745,Toothbrush 4000,2022/12/02,22,2,CH61 200HF,BB10 1RJ,Order Received,2022/12/02,Unavailable,
BRU00007955,Toothbrush 4000,2022/12/01,41,6,FY2 209BZ,BN3 7AA,Order Confirmed,2022/12/01,Unavailable,
BRU00008120,Toothbrush 2000,2022/12/02,82,3,GL3 202LH,DN19 7EL,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008273,Toothbrush 4000,2022/12/01,31,5,CT21 204JW,BS48 2NP,Dispatched,2022/12/01,Delivered,2022/12/03
BRU00008207,Toothbrush 2000,2022/12/02,69,7,BA7 207HS,EH7 5JH,Order Confirmed,2022/12/02,Unavailable,
BRU00008272,Toothbrush 4000,2022/12/02,34,2,BN8 204BP,CM16 7PS,Dispatched,2022/12/02,Delivered,2022/12/04
BRU00007749,Toothbrush 4000,2022/12/02,36,8,B49 205LJ,GL52 6BJ,Order Received,2022/12/02,Unavailable,
BRU00007872,Toothbrush 4000,2022/12/02,25,4,AB11 205EG,HG3 5LR,Dispatched,2022/12/03,Delivered,2022/12/04
BRU00008048,Toothbrush 2000,2022/12/01,99,8,BB18 205EH,DG16 5FJ,Order Received,2022/12/01,Unavailable,
BRU00007825,Toothbrush 2000,2022/12/01,65,5,BN1 208AE,HD1 5QE,Dispatched,2022/12/02,Unsuccessful,2022/12/03
BRU00007723,Toothbrush 4000,2022/12/02,22,6,BS34 207PL,BD13 4DN,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008278,Toothbrush 2000,2022/12/01,69,7,CM23 205LT,DE45 1FG,Dispatched,2022/12/01,Delivered,2022/12/02
BRU00007781,Toothbrush 4000,2022/12/02,35,2,BH12 205DU,BN25 1JS,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007971,Toothbrush 4000,2022/12/02,24,1,BN20 208JY,E3 3GR,Order Confirmed,2022/12/02,Unavailable,
BRU00007832,Toothbrush 4000,2022/12/02,33,5,BL9 209SZ,CV10 9GY,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007987,Toothbrush 2000,2022/12/01,56,8,EN11 200JR,DL15 0JS,Order Confirmed,2022/12/01,Unavailable,
BRU00008007,Toothbrush 4000,2022/12/01,18,5,BS7 200AP,CT18 7AB,Order Received,2022/12/01,Unavailable,
BRU00008160,Toothbrush 4000,2022/12/02,26,8,HA0 203QD,GL54 4JD,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008020,Toothbrush 4000,2022/12/02,22,7,GL13 209LD,AB37 9EA,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008143,Toothbrush 4000,2022/12/02,31,7,CM9 208US,HD2 2HY,Dispatched,2022/12/03,Unsuccessful,2022/12/03
BRU00008015,Toothbrush 2000,2022/12/02,70,7,BA7 207EX,B50 4AQ,Order Confirmed,2022/12/02,Unavailable,
BRU00008060,Toothbrush 4000,2022/12/02,22,1,CO4 205YZ,BS4 4AJ,Order Received,2022/12/02,Unavailable,
BRU00007807,Toothbrush 4000,2022/12/02,24,2,CT17 200ED,EX14 2GN,Order Received,2022/12/02,Unavailable,
BRU00007840,Toothbrush 4000,2022/12/01,23,9,CA15 208AR,CO3 3RY,Order Received,2022/12/01,Unavailable,
BRU00007816,Toothbrush 4000,2022/12/02,19,8,EH3 206QA,CO3 8AL,Order Received,2022/12/02,Unavailable,
BRU00007784,Toothbrush 4000,2022/12/02,33,9,GU35 209NN,BS1 6TB,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008159,Toothbrush 4000,2022/12/02,23,3,CB22 203TF,BS41 9HR,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008053,Toothbrush 4000,2022/12/02,36,2,DA17 206HL,B71 2AJ,Order Confirmed,2022/12/02,Unavailable,
BRU00007824,Toothbrush 4000,2022/12/02,30,4,FK8 202QJ,IP29 4PG,Order Confirmed,2022/12/02,Unavailable,
BRU00008214,Toothbrush 2000,2022/12/01,67,3,CH45 202JF,B6 5NU,Order Received,2022/12/01,Unavailable,
BRU00008056,Toothbrush 4000,2022/12/02,26,2,EH48 203BL,HP22 6ED,Dispatched,2022/12/02,Delivered,2022/12/04
BRU00007802,Toothbrush 2000,2022/12/01,68,1,BH20 207BY,G52 2PP,Order Received,2022/12/01,Unavailable,
BRU00008113,Toothbrush 2000,2022/12/02,97,3,FK2 209YA,BS20 8DW,Order Confirmed,2022/12/02,Unavailable,
BRU00008180,Toothbrush 4000,2022/12/01,36,6,CV4 209AP,CM2 9QX,Order Confirmed,2022/12/01,Unavailable,
BRU00008153,Toothbrush 2000,2022/12/01,60,9,G1 202SD,BB2 7LR,Order Confirmed,2022/12/01,Unavailable,
BRU00008174,Toothbrush 2000,2022/12/01,67,3,BS4 204RL,CT3 1HR,Order Confirmed,2022/12/01,Unavailable,
BRU00008254,Toothbrush 4000,2022/12/02,27,3,CF44 207DN,GL17 0SJ,Order Received,2022/12/02,Unavailable,
BRU00007811,Toothbrush 2000,2022/12/02,60,7,AB56 205EN,DE55 7DQ,Dispatched,2022/12/02,Delivered,2022/12/04
BRU00008077,Toothbrush 4000,2022/12/02,15,1,CV11 205JT,HR6 0HL,Order Received,2022/12/02,Unavailable,
BRU00007921,Toothbrush 4000,2022/12/01,15,8,B42 202TG,BB4 9AQ,Order Received,2022/12/01,Unavailable,
BRU00008089,Toothbrush 4000,2022/12/02,22,3,B72 201JU,G81 6QY,Order Received,2022/12/02,Unavailable,
BRU00008244,Toothbrush 2000,2022/12/01,61,2,GL52 202AJ,CO3 0SA,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008240,Toothbrush 2000,2022/12/02,56,3,CH1 209SP,CH4 7DN,Order Received,2022/12/02,Unavailable,
BRU00007943,Toothbrush 4000,2022/12/02,24,7,DL12 200LG,HU11 5RN,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008144,Toothbrush 2000,2022/12/02,74,5,E1 202ET,GL53 7NQ,Order Received,2022/12/02,Unavailable,
BRU00007792,Toothbrush 4000,2022/12/01,26,9,FK3 208SZ,FY1 4QW,Dispatched,2022/12/02,Unsuccessful,2022/12/03
BRU00007985,Toothbrush 2000,2022/12/01,93,1,CH42 204NZ,G1 5PD,Order Received,2022/12/01,Unavailable,
BRU00007984,Toothbrush 4000,2022/12/02,26,2,EH3 205QS,CM3 3AJ,Order Confirmed,2022/12/02,Unavailable,
BRU00007886,Toothbrush 4000,2022/12/02,36,3,EX17 202AQ,BS5 7RT,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008041,Toothbrush 4000,2022/12/02,30,9,AL2 202SF,HU12 9GB,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008171,Toothbrush 4000,2022/12/02,51,3,BH12 201PZ,CH45 0LG,Order Received,2022/12/02,Unavailable,
BRU00007793,Toothbrush 4000,2022/12/02,35,8,HP9 201BN,DE72 3QD,Order Confirmed,2022/12/02,Unavailable,
BRU00008201,Toothbrush 4000,2022/12/01,21,2,DL3 200RZ,DY12 2TL,Order Confirmed,2022/12/01,Unavailable,
BRU00007992,Toothbrush 2000,2022/12/02,86,4,HP23 205PY,E8 4DY,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007914,Toothbrush 2000,2022/12/02,75,8,CV21 203NN,AL1 5QB,Order Confirmed,2022/12/02,Unavailable,
BRU00008111,Toothbrush 2000,2022/12/01,81,9,BA12 208DD,CO4 9UN,Order Received,2022/12/01,Unavailable,
BRU00008147,Toothbrush 4000,2022/12/01,21,8,HA7 202SG,CM0 7TN,Order Received,2022/12/01,Unavailable,
BRU00007779,Toothbrush 2000,2022/12/01,63,6,G68 209PG,HU8 0TT,Dispatched,2022/12/02,Unsuccessful,2022/12/03
BRU00008277,Toothbrush 2000,2022/12/02,72,1,BD4 200LJ,CH65 6PU,Order Confirmed,2022/12/02,Unavailable,
BRU00008121,Toothbrush 4000,2022/12/01,11,2,IG10 201PF,BL8 1DU,Dispatched,2022/12/01,Delivered,2022/12/02
BRU00007837,Toothbrush 4000,2022/12/02,21,4,AL1 204DW,E4 6TN,Order Confirmed,2022/12/02,Unavailable,
BRU00008075,Toothbrush 2000,2022/12/02,56,5,CV4 209FA,CF82 6AJ,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008108,Toothbrush 4000,2022/12/02,26,9,BL1 205FH,BL4 9QE,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007857,Toothbrush 2000,2022/12/02,76,1,CT6 208SG,CF24 1PN,Order Confirmed,2022/12/02,Unavailable,
BRU00008157,Toothbrush 4000,2022/12/02,13,1,CO4 200ET,EN10 7NQ,Order Received,2022/12/02,Unavailable,
BRU00008087,Toothbrush 2000,2022/12/01,96,1,B71 201AS,CT20 3AG,Dispatched,2022/12/02,Unsuccessful,2022/12/03
BRU00007829,Toothbrush 4000,2022/12/02,15,7,DN16 202RD,GU12 5DY,Order Received,2022/12/02,Unavailable,
BRU00008267,Toothbrush 4000,2022/12/02,39,6,G78 201JD,B76 9EL,Order Confirmed,2022/12/02,Unavailable,
BRU00007694,Toothbrush 2000,2022/12/01,76,4,G45 209AA,HP17 8RE,Order Received,2022/12/01,Unavailable,
BRU00008193,Toothbrush 4000,2022/12/02,32,1,BA2 203AR,B31 3NU,Order Confirmed,2022/12/02,Unavailable,
BRU00008173,Toothbrush 4000,2022/12/01,15,2,BL5 202LA,HP27 9NX,Order Received,2022/12/01,Unavailable,
BRU00008218,Toothbrush 2000,2022/12/02,86,4,E10 207AJ,CH5 4FQ,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007756,Toothbrush 4000,2022/12/02,18,2,DN14 205AX,DY8 9EX,Order Confirmed,2022/12/02,Unavailable,
BRU00007849,Toothbrush 4000,2022/12/02,14,4,G43 202QY,BS23 4HB,Order Confirmed,2022/12/02,Unavailable,
BRU00008205,Toothbrush 4000,2022/12/02,18,6,G13 202DE,G44 3LT,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008220,Toothbrush 4000,2022/12/01,20,6,CF39 208AL,CT6 7UY,Order Received,2022/12/01,Unavailable,
BRU00007788,Toothbrush 4000,2022/12/02,18,8,BA14 208RP,DN19 7AW,Order Received,2022/12/02,Unavailable,
BRU00008281,Toothbrush 4000,2022/12/02,25,1,HP22 204NX,HD1 3DR,Dispatched,2022/12/03,Unsuccessful,2022/12/04
BRU00007851,Toothbrush 2000,2022/12/02,94,1,DN10 204DF,BN24 6BA,Dispatched,2022/12/02,Delivered,2022/12/04
BRU00007909,Toothbrush 4000,2022/12/02,12,4,DH2 201BL,BA3 4XR,Order Confirmed,2022/12/02,Unavailable,
BRU00007924,Toothbrush 2000,2022/12/01,70,8,DY8 205TT,BS40 5LJ,Order Confirmed,2022/12/01,Unavailable,
BRU00007775,Toothbrush 4000,2022/12/02,28,3,B71 201BH,GU2 4HB,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008031,Toothbrush 4000,2022/12/02,21,4,B8 202NL,CB2 0SA,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008096,Toothbrush 4000,2022/12/01,39,4,AB15 204NT,BN23 5SU,Order Received,2022/12/01,Unavailable,
BRU00007973,Toothbrush 4000,2022/12/01,16,7,DN4 207EZ,IM2 5EW,Order Received,2022/12/01,Unavailable,
BRU00008002,Toothbrush 2000,2022/12/01,71,2,GU26 206SH,EN3 4HX,Dispatched,2022/12/01,Delivered,2022/12/02
BRU00007907,Toothbrush 4000,2022/12/01,17,7,HX2 209QJ,G20 6NS,Order Received,2022/12/01,Unavailable,
BRU00008110,Toothbrush 4000,2022/12/01,19,2,BS40 208ST,CM7 3QD,Order Received,2022/12/02,Unavailable,
BRU00008228,Toothbrush 2000,2022/12/02,58,6,IG2 207RZ,BS1 6HW,Order Confirmed,2022/12/02,Unavailable,
BRU00007770,Toothbrush 4000,2022/12/01,30,8,DL9 204BN,AB14 0WE,Order Received,2022/12/01,Unavailable,
BRU00007887,Toothbrush 2000,2022/12/01,74,3,CT11 209NP,GL56 9ER,Order Received,2022/12/01,Unavailable,
BRU00007927,Toothbrush 2000,2022/12/02,76,8,CH3 207NY,CF72 0EJ,Order Confirmed,2022/12/02,Unavailable,
BRU00008279,Toothbrush 2000,2022/12/02,74,6,CV35 207NL,CA2 5PT,Order Confirmed,2022/12/02,Unavailable,
BRU00008257,Toothbrush 2000,2022/12/01,84,3,G71 208RS,DL5 5AZ,Dispatched,2022/12/01,Delivered,2022/12/02
BRU00008009,Toothbrush 2000,2022/12/02,80,2,GL14 201AB,BB4 5AD,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008035,Toothbrush 2000,2022/12/01,65,5,CV23 208BS,CR0 2HX,Dispatched,2022/12/01,Delivered,2022/12/03
BRU00007883,Toothbrush 2000,2022/12/01,59,7,EX17 202BD,G20 8NQ,Dispatched,2022/12/01,Delivered,2022/12/03
BRU00007717,Toothbrush 2000,2022/12/01,58,9,EH15 203DD,G65 9HP,Dispatched,2022/12/01,Delivered,2022/12/02
BRU00007780,Toothbrush 4000,2022/12/02,34,1,B25 208AY,CA15 8AN,Order Received,2022/12/02,Unavailable,
BRU00008152,Toothbrush 2000,2022/12/02,75,9,CF23 205AW,BH25 5ZF,Order Confirmed,2022/12/02,Unavailable,
BRU00008302,Toothbrush 2000,2022/12/01,73,6,DD6 208LB,DD6 8LB,Order Received,2022/12/01,Unavailable,
BRU00007890,Toothbrush 4000,2022/12/02,29,1,AL4 209LF,AL4 9LF,Order Confirmed,2022/12/02,Unavailable,
BRU00007719,Toothbrush 2000,2022/12/02,82,4,EH17 207JN,EH17 7JN,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007714,Toothbrush 2000,2022/12/02,61,7,FK2 208TB,FK2 8TB,Order Received,2022/12/02,Unavailable,
BRU00008188,Toothbrush 4000,2022/12/02,24,5,DE7 208TU,DE7 8TU,Dispatched,2022/12/03,Unsuccessful,2022/12/04
BRU00008124,Toothbrush 2000,2022/12/02,83,9,CB11 203YG,CB11 3YG,Order Received,2022/12/02,Unavailable,
BRU00007838,Toothbrush 2000,2022/12/02,91,3,CV2 202GA,CV2 2GA,Order Received,2022/12/02,Unavailable,
BRU00008156,Toothbrush 4000,2022/12/02,29,4,EX9 206PX,EX9 6PX,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008187,Toothbrush 4000,2022/12/02,21,2,CA7 204RG,CA7 4RG,Order Received,2022/12/02,Unavailable,
BRU00007700,Toothbrush 4000,2022/12/02,29,4,EX5 205JS,EX5 5JS,Order Confirmed,2022/12/02,Unavailable,
BRU00007998,Toothbrush 4000,2022/12/02,18,6,BN11 204JU,BN11 4JU,Order Received,2022/12/02,Unavailable,
BRU00007706,Toothbrush 4000,2022/12/02,18,1,GU46 207SJ,GU46 7SJ,Order Confirmed,2022/12/02,Unavailable,
BRU00008058,Toothbrush 4000,2022/12/02,29,1,DN10 206AD,DN10 6AD,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008264,Toothbrush 4000,2022/12/01,39,4,CO1 202SJ,CO1 2SJ,Order Confirmed,2022/12/02,Unavailable,
BRU00007817,Toothbrush 2000,2022/12/02,63,9,G33 203QR,G33 3QR,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007959,Toothbrush 4000,2022/12/02,13,7,g349bb,g349bb,Order Received,2022/12/02,Unavailable,
BRU00007722,Toothbrush 2000,2022/12/01,93,4,dl38en,dl38en,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007854,Toothbrush 4000,2022/12/02,43,8,im96ps,im96ps,Order Confirmed,2022/12/02,Unavailable,
BRU00007733,Toothbrush 2000,2022/12/02,77,2,cm201th,cm201th,Order Confirmed,2022/12/02,Unavailable,
BRU00007903,Toothbrush 4000,2022/12/02,19,2,ca82ad,ca82ad,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007960,Toothbrush 2000,2022/12/01,76,3,ct201lh,ct201lh,Dispatched,2022/12/02,Unsuccessful,2022/12/03
BRU00008129,Toothbrush 4000,2022/12/02,25,2,ch446pd,ch446pd,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007945,Toothbrush 4000,2022/12/02,40,6,ba10xn,ba10xn,Order Confirmed,2022/12/02,Unavailable,
BRU00008199,Toothbrush 4000,2022/12/02,29,1,cf838er,cf838er,Order Confirmed,2022/12/02,Unavailable,
BRU00007822,Toothbrush 4000,2022/12/01,23,9,hp178rq,hp178rq,Order Confirmed,2022/12/01,Unavailable,
BRU00008274,Toothbrush 2000,2022/12/02,74,3,de217ha,de217ha,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008123,Toothbrush 2000,2022/12/02,74,7,bs166uz,bs166uz,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008190,Toothbrush 4000,2022/12/02,13,1,ip137qf,ip137qf,Order Confirmed,2022/12/02,Unavailable,
BRU00007958,Toothbrush 4000,2022/12/02,9,2,dl140lw,dl140lw,Order Confirmed,2022/12/02,Unavailable,
BRU00008269,Toothbrush 4000,2022/12/01,28,3,cw71pb,cw71pb,Order Confirmed,2022/12/01,Unavailable,
BRU00008300,Toothbrush 4000,2022/12/02,32,3,eh165bh,eh165bh,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007761,Toothbrush 4000,2022/12/01,15,3,bs42ph,bs42ph,Dispatched,2022/12/02,Unsuccessful,2022/12/02
BRU00007744,Toothbrush 2000,2022/12/02,65,5,cb87tu,cb87tu,Order Confirmed,2022/12/02,Unavailable,
BRU00008154,Toothbrush 2000,2022/12/01,83,6,ig75dl,ig75dl,Order Received,2022/12/01,Unavailable,
BRU00008170,Toothbrush 4000,2022/12/01,36,4,ha14fw,ha14fw,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008225,Toothbrush 2000,2022/12/02,69,2,dy115ll,dy115ll,Order Received,2022/12/02,Unavailable,
BRU00007876,Toothbrush 2000,2022/12/01,76,6,e163tr,e163tr,Order Received,2022/12/01,Unavailable,
BRU00008071,Toothbrush 2000,2022/12/01,65,5,ab345ps,ab345ps,Order Confirmed,2022/12/01,Unavailable,
BRU00008115,Toothbrush 4000,2022/12/02,21,5,dn106xd,dn106xd,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007957,Toothbrush 2000,2022/12/01,104,8,ex96rs,ex96rs,Order Confirmed,2022/12/01,Unavailable,
BRU00008238,Toothbrush 2000,2022/12/02,83,2,ct54eh,ct54eh,Order Confirmed,2022/12/02,Unavailable,
BRU00007750,Toothbrush 2000,2022/12/01,77,6,cm195qy,cm195qy,Order Confirmed,2022/12/01,Unavailable,
BRU00008021,Toothbrush 2000,2022/12/02,91,2,co94jh,co94jh,Order Received,2022/12/02,Unavailable,
BRU00007952,Toothbrush 4000,2022/12/01,39,2,b610pu,b610pu,Order Confirmed,2022/12/01,Unavailable,
BRU00008141,Toothbrush 2000,2022/12/01,66,2,dn171xt,dn171xt,Order Confirmed,2022/12/01,Unavailable,
BRU00007918,Toothbrush 4000,2022/12/02,45,2,cr78aa,cr78aa,Dispatched,2022/12/03,Unsuccessful,2022/12/04
BRU00007991,Toothbrush 4000,2022/12/02,30,5,ab155bx,ab155bx,Order Confirmed,2022/12/02,Unavailable,
BRU00008248,Toothbrush 4000,2022/12/02,36,3,fk14hy,fk14hy,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008286,Toothbrush 2000,2022/12/02,74,6,dg80ej,dg80ej,Order Confirmed,2022/12/02,Unavailable,
BRU00008138,Toothbrush 2000,2022/12/01,73,7,e20qs,e20qs,Order Received,2022/12/01,Unavailable,
BRU00008249,Toothbrush 4000,2022/12/02,32,2,cv115ba,cv115ba,Order Received,2022/12/02,Unavailable,
BRU00008239,Toothbrush 2000,2022/12/01,77,8,g697qd,g697qd,Dispatched,2022/12/02,Unsuccessful,2022/12/02
BRU00007847,Toothbrush 4000,2022/12/02,17,1,e78qr,e78qr,Order Received,2022/12/02,Unavailable,
BRU00008132,Toothbrush 4000,2022/12/03,29,9,hp79lp,hp79lp,Dispatched,2022/12/03,Delivered,2022/12/04
BRU00008296,Toothbrush 2000,2022/12/02,85,3,ch54dz,ch54dz,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007994,Toothbrush 2000,2022/12/02,86,9,ch65ht,ch65ht,Order Confirmed,2022/12/02,Unavailable,
BRU00008151,Toothbrush 2000,2022/12/01,74,6,b902db,b902db,Order Received,2022/12/01,Unavailable,
