Order Number,Toothbrush Type,Order Date,Customer Age,Order Quantity,Delivery Postcode,Billing Postcode,is_first,Dispatch Status,Dispatched Date,Delivery Status,Delivery Date
BRU00011295,Toothbrush 2000,2022-12-01 21:21:12.027077600,68,7,E1W%209RT,G31 2TN,1,Order Confirmed,2022-12-01 22:22:19.104380000,,
BRU00011341,Toothbrush 4000,2022-12-02 23:43:08.245964400,47,9,IM8%201EP,CB11 4GT,1,Dispatched,2022-12-03 06:46:19.391542800,Delivered,2022-12-04 09:19:45.140089199
BRU00011167,Toothbrush 4000,2022-12-02 07:06:32.628430400,27,6,B44%208ED,BS8 4HD,1,Order Received,2022-12-02 07:19:08.680943600,,
BRU00010829,Toothbrush 4000,2022-12-02 01:08:28.314069200,19,9,DL16%206UL,CF5 3PT,1,Order Received,2022-12-02 01:19:46.693839200,,
BRU00011336,Toothbrush 2000,2022-12-01 16:42:48.556548400,72,5,EX16%208LG,EC2Y 8BA,1,Order Received,2022-12-01 16:54:33.109589200,,
BRU00011029,Toothbrush 4000,2022-12-02 17:05:50.262258000,34,2,CO10%200YW,BS35 3QF,1,Dispatched,2022-12-03 00:34:04.780846800,Delivered,2022-12-04 03:00:58.816701600
BRU00011026,Toothbrush 4000,2022-12-02 01:10:57.460164400,38,3,G5%200PJ,HU16 4DF,1,Order Confirmed,2022-12-02 02:04:37.012322800,,
BRU00011056,Toothbrush 2000,2022-12-02 08:02:59.106053600,44,5,BB2%201QD,CV3 3HU,1,Order Received,2022-12-02 08:14:15.441578000,,
BRU00011199,Toothbrush 4000,2022-12-02 02:36:26.246622000,28,6,IG10%204EG,G20 8DZ,1,Dispatched,2022-12-02 08:47:07.666257600,Delivered,2022-12-03 07:07:31.930144800
BRU00011344,Toothbrush 2000,2022-12-02 11:18:05.557759600,95,5,CW8%202PL,DY1 4NN,1,Order Received,2022-12-02 11:31:04.934914000,,
BRU00011175,Toothbrush 2000,2022-12-01 14:53:39.127059200,72,6,FK3%208AE,GL56 0UU,1,Order Confirmed,2022-12-01 16:25:30.333870800,,
BRU00011267,Toothbrush 2000,2022-12-01 20:58:09.110995200,70,8,DL17%200LA,FK15 9FG,1,Order Confirmed,2022-12-01 21:49:32.837616000,,
BRU00011477,Toothbrush 2000,2022-12-01 17:08:06.286345200,55,1,G33%201LZ,DG12 6BB,1,Order Confirmed,2022-12-01 18:10:44.546589600,,
BRU00011546,Toothbrush 4000,2022-12-02 07:47:21.721536800,16,2,B48%207SU,BB9 7QJ,1,Order Received,2022-12-02 08:00:01.466483600,,
BRU00011100,Toothbrush 4000,2022-12-02 11:36:49.787670800,32,8,BH15%203BJ,CT19 6JD,1,Order Received,2022-12-02 11:48:45.128802800,,
BRU00011400,Toothbrush 2000,2022-12-02 01:36:49.420705200,71,4,HP2%206HT,AB34 5EG,1,Order Confirmed,2022-12-02 02:34:47.748128400,,
BRU00011184,Toothbrush 2000,2022-12-02 07:24:24.781747200,89,9,BD23%204HE,BR3 4JX,1,Order Confirmed,2022-12-02 08:37:31.045798800,,
BRU00011408,Toothbrush 4000,2022-12-01 18:56:49.246401600,15,3,B8%203AA,BL1 9JG,1,Dispatched,2022-12-02 01:40:21.241554000,Delivered,2022-12-03 05:54:54.083258400
BRU00011317,Toothbrush 4000,2022-12-01 20:54:23.318105600,27,6,FY2%209NA,CB1 0HX,1,Order Received,2022-12-01 21:06:36.459002000,,
BRU00011257,Toothbrush 4000,2022-12-02 13:19:02.140745600,21,3,CV12%209LQ,HX3 8HY,1,Order Confirmed,2022-12-02 14:20:59.455288400,,
BRU00011503,Toothbrush 2000,2022-12-01 19:32:14.698527200,80,2,HG3%201HN,CR7 6YL,1,Dispatched,2022-12-02 02:41:18.688162400,Delivered,2022-12-03 04:51:05.267849600
BRU00011522,Toothbrush 4000,2022-12-01 19:05:39.707742800,15,8,DD3%207BE,CV11 4AU,1,Order Confirmed,2022-12-01 19:50:24.657348800,,
BRU00011545,Toothbrush 2000,2022-12-01 10:28:20.640603200,74,8,CM7%205GX,DH2 1PE,1,Order Confirmed,2022-12-01 12:05:41.529950000,,
BRU00011203,Toothbrush 4000,2022-12-02 00:11:24.664627600,17,8,BS31%201GS,CO4 0JX,1,Order Received,2022-12-02 00:22:57.482600800,,
BRU00011741,Toothbrush 4000,2022-12-01 17:20:44.072973200,14,6,BD21%204AH,IG7 4FE,1,Order Confirmed,2022-12-01 18:22:16.767335600,,
BRU00011776,Toothbrush 4000,2022-12-01 19:01:51.849134000,39,6,B91%203UX,DH1 3AZ,1,Order Received,2022-12-01 19:13:11.456280800,,
BRU00011392,Toothbrush 2000,2022-12-02 08:51:42.169676400,57,3,DH9%200EL,BL3 3AF,1,Order Received,2022-12-02 09:03:21.974508000,,
BRU00011778,Toothbrush 4000,2022-12-02 13:37:02.730789200,28,7,CH65%205EP,BH10 5JR,1,Dispatched,2022-12-02 21:26:54.035790800,Delivered,2022-12-04 05:53:36.515184800
BRU00010864,Toothbrush 2000,2022-12-02 02:54:34.596147200,69,3,CF31%202JZ,CF44 6YP,1,Order Confirmed,2022-12-02 04:02:12.448154000,,
BRU00010827,Toothbrush 2000,2022-12-01 18:04:14.282564800,70,2,B98%208JF,EH12 9AN,1,Order Confirmed,2022-12-01 19:25:06.854119600,,
BRU00011343,Toothbrush 2000,2022-12-02 06:12:28.989272000,66,1,BS31%203DJ,G42 7JQ,1,Dispatched,2022-12-02 12:55:32.129146400,Delivered,2022-12-03 15:25:13.550201600
BRU00011711,Toothbrush 4000,2022-12-02 12:35:13.750663200,26,3,HP18%209FF,BB4 5UD,1,Order Confirmed,2022-12-02 13:10:46.652833200,,
BRU00011782,Toothbrush 2000,2022-12-01 14:43:18.350383200,67,6,DN31%203AT,EH54 5BH,1,Order Confirmed,2022-12-01 15:31:11.625954000,,
BRU00010974,Toothbrush 2000,2022-12-01 20:22:05.195950800,64,2,HS1%202FD,DN11 0HF,1,Dispatched,2022-12-02 02:58:37.558975200,Delivered,2022-12-03 03:16:19.028036399
BRU00011718,Toothbrush 2000,2022-12-02 01:15:41.557487999,77,8,EX4%204JR,CO4 5AT,1,Order Received,2022-12-02 01:27:25.152590399,,
BRU00010912,Toothbrush 4000,2022-12-02 20:45:52.931123200,15,2,DT1%201RY,BH21 2DF,1,Order Received,2022-12-02 20:57:39.248826400,,
BRU00011659,Toothbrush 2000,2022-12-01 10:40:48.996447600,64,8,BL1%206BS,CM3 8BH,1,Order Received,2022-12-01 10:52:22.936382400,,
BRU00011584,Toothbrush 4000,2022-12-02 23:10:34.902472800,10,6,CM21%200RL,IP27 9GL,1,Order Received,2022-12-02 23:23:22.562494800,,
BRU00011636,Toothbrush 4000,2022-12-02 11:18:50.011262000,31,6,G33%201AY,B27 6NT,1,Order Received,2022-12-02 11:30:11.976880400,,
BRU00011361,Toothbrush 4000,2022-12-02 10:37:39.167460400,16,4,CO11%201ST,G53 5SR,1,Order Received,2022-12-02 10:50:29.910047200,,
BRU00011671,Toothbrush 2000,2022-12-02 08:22:32.565941600,71,2,DY1%201QU,BH7 6AH,1,Dispatched,2022-12-02 14:40:06.806490800,Delivered,2022-12-04 00:42:15.053985200
BRU00011327,Toothbrush 4000,2022-12-01 21:46:04.638328400,24,1,CH65%209DX,IM2 3LA,1,Order Received,2022-12-01 21:58:39.202367600,,
BRU00010845,Toothbrush 2000,2022-12-01 14:14:57.070103200,59,9,E14%209TA,HR1 9ST,1,Order Received,2022-12-01 14:26:38.414125600,,
BRU00010850,Toothbrush 2000,2022-12-01 09:14:58.282327200,73,1,DL6%202AE,EN2 8NS,1,Dispatched,2022-12-01 15:58:11.099250000,Delivered,2022-12-02 14:24:38.127786000
BRU00010854,Toothbrush 4000,2022-12-02 19:49:46.845072400,20,8,BA3%202RE,CF3 0LB,1,Dispatched,2022-12-03 03:22:01.950883600,Delivered,2022-12-04 10:41:31.383725200
BRU00010982,Toothbrush 4000,2022-12-01 21:46:17.214948800,52,7,DY13%208AB,CO7 6RD,1,Order Confirmed,2022-12-01 22:44:58.105632800,,
BRU00011339,Toothbrush 4000,2022-12-02 04:40:31.176858400,30,2,B44%209HR,DY9 0FT,1,Dispatched,2022-12-02 12:04:00.459800800,Delivered,2022-12-03 09:09:50.150146000
BRU00010886,Toothbrush 4000,2022-12-02 01:25:52.072606400,26,6,AB44%201PR,CF64 2RT,1,Order Received,2022-12-02 01:36:49.972466000,,
BRU00010932,Toothbrush 4000,2022-12-02 16:08:59.884425200,8,6,BD19%203TX,HX2 9UT,1,Dispatched,2022-12-02 22:59:50.554301600,Delivered,2022-12-04 02:11:01.853350400
BRU00011094,Toothbrush 2000,2022-12-01 21:59:45.162043200,66,9,IP25%207GA,CM2 9HP,1,Order Received,2022-12-01 22:11:53.965029600,,
BRU00011082,Toothbrush 2000,2022-12-01 21:31:59.011750000,90,1,BB10%202EZ,DE1 3ND,1,Order Received,2022-12-01 21:43:39.840457600,,
BRU00011246,Toothbrush 4000,2022-12-02 13:17:01.457680000,17,7,BS41%208JJ,IP13 7PT,1,Dispatched,2022-12-02 21:18:57.072835600,Delivered,2022-12-04 02:50:14.791640799
BRU00010950,Toothbrush 4000,2022-12-02 07:20:00.804187600,19,9,BS15%204DX,BD22 8FD,1,Order Confirmed,2022-12-02 08:19:35.446500400,,
BRU00011305,Toothbrush 2000,2022-12-01 11:59:56.946969200,94,1,BR4%209JE,FK2 0GQ,1,Order Received,2022-12-01 12:12:06.054926000,,
BRU00011531,Toothbrush 4000,2022-12-02 11:17:54.192951599,20,1,BN22%200BU,CW9 8EZ,1,Dispatched,2022-12-02 18:45:43.499041199,Delivered,2022-12-03 21:44:06.195148799
BRU00011325,Toothbrush 4000,2022-12-02 14:57:51.740176399,27,3,GU15%202SA,BB7 4AY,1,Order Received,2022-12-02 15:10:26.992866799,,
BRU00011015,Toothbrush 2000,2022-12-02 03:19:11.425032400,90,3,G51%202HF,BN1 4JU,1,Order Confirmed,2022-12-02 04:15:13.236018400,,
BRU00011401,Toothbrush 4000,2022-12-02 01:39:43.232374800,28,1,G66%204BY,CF14 1HA,1,Dispatched,2022-12-02 08:47:49.466270400,Delivered,2022-12-03 16:58:27.000872400
BRU00011097,Toothbrush 4000,2022-12-02 05:21:52.205012000,25,8,HG1%202JL,CT4 6DB,1,Order Confirmed,2022-12-02 06:12:27.784844000,,
BRU00010892,Toothbrush 2000,2022-12-02 14:19:22.187220400,75,1,E6%202BA,DL13 5AN,1,Order Received,2022-12-02 14:32:12.671485600,,
BRU00011744,Toothbrush 4000,2022-12-02 23:08:18.614877600,14,3,G15%207XL,BA12 0PL,1,Dispatched,2022-12-03 06:39:27.946532400,Delivered,2022-12-04 11:52:32.119488000
BRU00010904,Toothbrush 2000,2022-12-01 22:27:11.284619200,85,8,EN7%205LA,BH20 4NW,1,Order Received,2022-12-01 22:38:12.884148400,,
BRU00011390,Toothbrush 4000,2022-12-01 10:06:20.416741600,31,7,CR2%208QQ,EX5 1AY,1,Order Received,2022-12-01 10:18:22.167400000,,
BRU00010868,Toothbrush 2000,2022-12-02 08:27:49.622628000,83,8,BB7%202RW,DA1 5PH,1,Dispatched,2022-12-02 15:09:32.612264400,Delivered,2022-12-04 01:02:37.262775600
BRU00011067,Toothbrush 2000,2022-12-01 23:10:23.934581200,57,1,EX14%204RF,EH4 3HT,1,Dispatched,2022-12-02 05:38:29.141071600,Delivered,2022-12-03 02:54:51.452494000
BRU00011712,Toothbrush 2000,2022-12-01 10:32:08.063455200,59,2,CH41%202SX,G72 0TX,1,Order Received,2022-12-01 10:43:56.576737200,,
BRU00011665,Toothbrush 4000,2022-12-02 08:49:45.688756000,38,3,HP20%201QE,BD16 1QD,1,Order Confirmed,2022-12-02 09:55:02.117336800,,
BRU00011141,Toothbrush 2000,2022-12-01 15:44:08.675261600,62,4,CH66%203PP,DE45 1FD,1,Order Confirmed,2022-12-01 16:51:42.538288400,,
BRU00010987,Toothbrush 4000,2022-12-01 23:02:37.529069200,6,3,DE12%207AX,DY9 9AJ,1,Order Confirmed,2022-12-02 00:28:07.726316800,,
BRU00011211,Toothbrush 4000,2022-12-02 14:10:18.525064400,10,3,BD1%201NN,BS2 8HX,1,Order Received,2022-12-02 14:21:34.049559200,,
BRU00011284,Toothbrush 4000,2022-12-02 14:49:30.810700400,5,6,DE7%209LD,DA15 8WH,1,Order Received,2022-12-02 15:01:55.435251200,,
BRU00011751,Toothbrush 4000,2022-12-02 09:26:23.141011600,21,8,BN2%209XR,B66 4DJ,1,Order Confirmed,2022-12-02 10:48:20.741425600,,
BRU00011457,Toothbrush 4000,2022-12-01 20:13:39.909166800,38,9,CB8%207QL,BH7 6LB,1,Dispatched,2022-12-02 03:02:04.311169200,Delivered,2022-12-03 02:51:54.906164400
BRU00011122,Toothbrush 4000,2022-12-02 15:49:14.780159200,23,2,CO11%202ND,G64 3NR,1,Order Received,2022-12-02 16:00:29.217007600,,
BRU00011160,Toothbrush 2000,2022-12-02 09:32:42.184061200,79,9,B45%209ES,G64 1RX,1,Order Received,2022-12-02 09:45:17.969803600,,
BRU00011227,Toothbrush 4000,2022-12-02 14:37:29.976486000,14,9,CM20%203RQ,FY7 7AB,1,Order Confirmed,2022-12-02 15:42:17.660553600,,
BRU00011245,Toothbrush 2000,2022-12-02 15:33:12.738494400,66,9,DH7%200QA,DE74 2QH,1,Order Received,2022-12-02 15:44:48.210996000,,
BRU00011296,Toothbrush 4000,2022-12-02 07:40:30.624098800,27,7,BN26%206GQ,DG8 6QW,1,Dispatched,2022-12-02 14:44:05.317500400,Delivered,2022-12-03 16:16:35.441521600
BRU00011481,Toothbrush 4000,2022-12-02 16:38:54.835345600,29,2,CM3%202DL,EH55 8SF,1,Dispatched,2022-12-03 00:00:58.562052400,Delivered,2022-12-04 08:41:44.910541600
BRU00011535,Toothbrush 2000,2022-12-01 13:43:34.716805600,90,8,BH22%209AX,CH34 9TJ,1,Order Confirmed,2022-12-01 15:08:56.298666400,,
BRU00011299,Toothbrush 2000,2022-12-01 22:32:45.085141600,79,9,CM23%203WB,BD1 2RW,1,Order Received,2022-12-01 22:45:24.606496000,,
BRU00011098,Toothbrush 2000,2022-12-02 02:14:18.866079200,68,5,BN18%200PN,AB42 4PF,1,Order Confirmed,2022-12-02 03:07:14.188025600,,
BRU00011610,Toothbrush 2000,2022-12-02 18:21:10.051392000,83,2,AB33%208ER,DH4 7NQ,1,Dispatched,2022-12-03 00:37:58.692389999,Delivered,2022-12-04 06:45:53.553403199
BRU00010997,Toothbrush 2000,2022-12-01 19:25:49.222358400,82,9,B29%206JB,BA4 6HE,1,Order Received,2022-12-01 19:38:10.793367600,,
BRU00011707,Toothbrush 4000,2022-12-01 23:33:20.334165599,11,6,BN9%200BU,CH48 0QP,1,Order Confirmed,2022-12-02 00:22:15.911966399,,
BRU00011672,Toothbrush 2000,2022-12-02 00:12:33.160874400,77,9,G78%204AH,DY8 5HX,1,Order Received,2022-12-02 00:23:37.004298000,,
BRU00010863,Toothbrush 4000,2022-12-01 18:18:24.373709600,30,9,G83%208LT,CT19 4PS,1,Order Received,2022-12-01 18:30:12.857864000,,
BRU00011003,Toothbrush 4000,2022-12-02 08:05:40.358618400,11,2,CB22%204PY,CO9 2BA,1,Order Received,2022-12-02 08:17:34.494632400,,
BRU00011753,Toothbrush 2000,2022-12-01 13:34:38.235567599,77,5,HU6%208BX,BR2 7BE,1,Order Confirmed,2022-12-01 14:53:16.121078399,,
BRU00011689,Toothbrush 4000,2022-12-02 07:22:22.591952800,33,9,EH11%202BZ,EH10 4QL,1,Dispatched,2022-12-02 14:18:55.421935600,Delivered,2022-12-03 13:15:45.021560800
BRU00011758,Toothbrush 2000,2022-12-02 08:53:33.687320000,69,4,IP23%207PT,DY4 0BH,1,Order Confirmed,2022-12-02 09:52:26.490882800,,
BRU00011150,Toothbrush 4000,2022-12-02 05:57:36.318678400,22,6,CH61%204YR,G20 0QT,1,Dispatched,2022-12-02 13:57:40.685424400,Delivered,2022-12-03 12:56:00.816524800
BRU00011159,Toothbrush 2000,2022-12-02 03:47:02.392042800,90,6,HX3%208UD,EX33 2JB,1,Dispatched,2022-12-02 11:17:48.356990399,Delivered,2022-12-03 06:33:11.148374399
BRU00011118,Toothbrush 2000,2022-12-01 12:58:02.590765600,76,6,DN35%200SJ,E10 7QG,1,Order Confirmed,2022-12-01 13:52:10.020870400,,
BRU00010843,Toothbrush 4000,2022-12-02 02:10:12.621073200,18,5,BS48%201QX,CA6 4RF,1,Dispatched,2022-12-02 09:21:31.890147600,Delivered,2022-12-03 10:36:45.038038800
BRU00010874,Toothbrush 4000,2022-12-02 04:52:15.008411200,37,6,DE24%203JL,DH7 0SS,1,Order Confirmed,2022-12-02 05:53:37.001964400,,
BRU00010927,Toothbrush 4000,2022-12-02 07:09:11.660597600,31,4,HU4%207DX,GL15 5BX,1,Order Received,2022-12-02 07:21:22.923834800,,
BRU00011511,Toothbrush 4000,2022-12-01 22:15:30.626001599,30,4,DN12%201AB,AB11 5DN,1,Order Received,2022-12-01 22:26:51.842927999,,
BRU00011032,Toothbrush 4000,2022-12-02 22:00:45.341300400,35,9,BH1%204DB,E16 2RG,1,Order Received,2022-12-02 22:13:10.166108400,,
BRU00011352,Toothbrush 2000,2022-12-02 00:04:38.646982000,74,8,CF64%204LN,BS20 7EX,1,Order Received,2022-12-02 00:17:52.065493600,,
BRU00011008,Toothbrush 4000,2022-12-01 19:48:36.176265600,22,6,DA1%203LT,CM7 1WR,1,Dispatched,2022-12-02 03:09:26.914830000,Delivered,2022-12-03 06:59:27.111630000
BRU00010981,Toothbrush 2000,2022-12-01 19:25:32.473464000,86,7,CH60%202TN,FY2 0HH,1,Order Received,2022-12-01 19:38:07.764339600,,
BRU00011558,Toothbrush 4000,2022-12-02 07:28:10.205707200,20,7,EH55%208BP,CV6 2AY,1,Dispatched,2022-12-02 14:27:45.547003200,Delivered,2022-12-03 15:46:29.621943600
BRU00011624,Toothbrush 4000,2022-12-02 14:08:47.817332400,20,7,CH4%207FD,CV32 7SJ,1,Order Received,2022-12-02 14:19:41.591440800,,
BRU00010848,Toothbrush 4000,2022-12-02 04:57:49.646832800,19,7,BN41%202TF,AB43 6UG,1,Order Confirmed,2022-12-02 05:57:17.491316000,,
BRU00011134,Toothbrush 2000,2022-12-01 22:17:46.245020400,75,2,BS15%201XS,G72 0HT,1,Order Received,2022-12-01 22:29:06.822684000,,
BRU00011752,Toothbrush 4000,2022-12-02 10:27:45.570747200,30,8,BD8%200BJ,CH49 3NR,1,Dispatched,2022-12-02 17:46:06.331774400,Delivered,2022-12-03 14:53:35.829891200
BRU00011639,Toothbrush 2000,2022-12-02 08:37:36.897737600,85,7,DN10%206AB,CV12 9JZ,1,Dispatched,2022-12-02 15:37:06.197348000,Delivered,2022-12-03 14:29:29.921187200
BRU00011663,Toothbrush 4000,2022-12-02 00:25:09.808685200,2,5,CO10%208UB,CB21 4HH,1,Order Confirmed,2022-12-02 01:47:17.321652400,,
BRU00011387,Toothbrush 4000,2022-12-01 22:53:46.288441200,35,7,BR6%209ED,CT11 9RH,1,Order Confirmed,2022-12-01 23:36:23.589715200,,
BRU00011430,Toothbrush 4000,2022-12-02 09:10:56.034871600,16,4,G51%204PA,DA8 1PQ,1,Order Received,2022-12-02 09:23:05.014585600,,
BRU00011521,Toothbrush 4000,2022-12-02 12:58:46.636863600,10,2,BN11%203NL,G20 0TW,1,Order Confirmed,2022-12-02 14:21:05.464738800,,
BRU00011091,Toothbrush 4000,2022-12-01 22:02:38.343483200,13,1,CH2%204DZ,G43 2BX,1,Order Received,2022-12-01 22:14:26.086142000,,
BRU00011152,Toothbrush 4000,2022-12-01 19:26:52.801010000,38,5,IP18%206HA,IG9 5AE,1,Order Confirmed,2022-12-01 20:27:32.679984800,,
BRU00011418,Toothbrush 2000,2022-12-02 03:06:16.673614800,71,3,FY1%206DB,CT20 1NF,1,Dispatched,2022-12-02 10:34:41.802148800,Delivered,2022-12-03 10:31:48.910561200
BRU00011542,Toothbrush 4000,2022-12-02 03:16:37.030809200,24,9,GU31%205LU,CF44 6PN,1,Dispatched,2022-12-02 10:04:34.882991600,Delivered,2022-12-03 11:53:42.535343600
BRU00011562,Toothbrush 2000,2022-12-02 08:24:59.650184000,75,8,BS16%203YF,DG11 2DF,1,Order Received,2022-12-02 08:36:26.786900000,,
BRU00011606,Toothbrush 4000,2022-12-02 10:41:26.935816400,25,8,GL12%208DA,CF32 9YT,1,Order Confirmed,2022-12-02 11:42:36.146036000,,
BRU00010933,Toothbrush 2000,2022-12-01 04:31:21.589709200,64,5,B38%209RD,BN9 0AL,1,Dispatched,2022-12-01 11:47:07.314565599,Delivered,2022-12-02 13:22:06.170379999
BRU00011076,Toothbrush 4000,2022-12-01 22:17:23.513946000,33,4,HU9%201UB,CM6 2LX,1,Dispatched,2022-12-02 05:48:16.187335200,Delivered,2022-12-03 14:26:51.061884000
BRU00011404,Toothbrush 4000,2022-12-02 14:02:38.671930400,33,2,G52%203QG,HA0 3EW,1,Order Received,2022-12-02 14:15:06.196835600,,
BRU00010888,Toothbrush 2000,2022-12-02 07:52:59.312667200,75,4,DA7%204LR,IP18 6DT,1,Order Received,2022-12-02 08:05:03.242909600,,
